provider_name;provider_product_id;product;additional_cover;combine_of_additionals;own_risk;breed;breed_connection;weight;gender;0;1;2;3;4;5;6;7;8;9;10;11;12;13
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;;;;;nee;6 - 20;reu;30.13;33.58;33.58;36.65;36.65;36.65;36.65;40.62;42.24;43.87;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;;;;;nee;6 - 20;teef;30.13;33.58;33.58;36.65;36.65;36.65;36.65;40.62;42.24;43.87;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;;;;;nee;21 - 35;reu;33.89;36.98;36.98;42.65;42.65;42.65;42.65;47.36;49.26;51.15;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;;;;;nee;21 - 35;teef;33.89;36.98;36.98;42.65;42.65;42.65;42.65;47.36;49.26;51.15;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;;;;;nee;36 - 49;reu;41.48;44.60;44.60;50.93;50.93;50.93;50.93;59.59;61.98;64.36;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;;;;;nee;36 - 49;teef;41.48;44.60;44.60;50.93;50.93;50.93;50.93;59.59;61.98;64.36;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;;;;;nee;> 50;reu;50.53;53.97;53.97;60.77;60.77;60.77;60.77;69.90;72.70;75.49;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;;;;;nee;> 50;teef;50.53;53.97;53.97;60.77;60.77;60.77;60.77;69.90;72.70;75.49;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Chemo-radiotherapie;;;;nee;< 5;reu;8.41;11.54;11.54;15.02;15.02;15.02;15.02;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Chemo-radiotherapie;;;;nee;< 5;teef;8.41;11.54;11.54;15.02;15.02;15.02;15.02;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Chemo-radiotherapie;;;;nee;6 - 20;reu;9.33;12.29;12.29;15.75;15.75;15.75;15.75;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Chemo-radiotherapie;;;;nee;6 - 20;teef;9.33;12.29;12.29;15.75;15.75;15.75;15.75;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Chemo-radiotherapie;;;;nee;21 - 35;reu;10.15;13.20;13.20;18.16;18.16;18.16;18.16;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Chemo-radiotherapie;;;;nee;21 - 35;teef;10.15;13.20;13.20;18.16;18.16;18.16;18.16;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Chemo-radiotherapie;;;;nee;36 - 49;reu;12.33;15.08;15.08;18.78;18.78;18.78;18.78;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Chemo-radiotherapie;;;;nee;36 - 49;teef;12.33;15.08;15.08;18.78;18.78;18.78;18.78;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Chemo-radiotherapie;;;;nee;> 50;reu;16.76;19.15;19.15;23.04;23.04;23.04;23.04;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Chemo-radiotherapie;;;;nee;> 50;teef;16.76;19.15;19.15;23.04;23.04;23.04;23.04;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Doorlopende reisverzekering;;;;nee;< 5;reu;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Doorlopende reisverzekering;;;;nee;< 5;teef;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Doorlopende reisverzekering;;;;nee;6 - 20;reu;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Doorlopende reisverzekering;;;;nee;6 - 20;teef;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Doorlopende reisverzekering;;;;nee;21 - 35;reu;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Doorlopende reisverzekering;;;;nee;21 - 35;teef;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Doorlopende reisverzekering;;;;nee;36 - 49;reu;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Doorlopende reisverzekering;;;;nee;36 - 49;teef;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Doorlopende reisverzekering;;;;nee;> 50;reu;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Doorlopende reisverzekering;;;;nee;> 50;teef;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Crematie;;;;nee;< 5;reu;1.72;2.38;2.38;3.29;3.29;3.29;3.29;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Crematie;;;;nee;< 5;teef;1.72;2.38;2.38;3.29;3.29;3.29;3.29;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Crematie;;;;nee;6 - 20;reu;2.14;2.81;2.81;3.70;3.70;3.70;3.70;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Crematie;;;;nee;6 - 20;teef;2.14;2.81;2.81;3.70;3.70;3.70;3.70;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Crematie;;;;nee;21 - 35;reu;2.71;3.46;3.46;4.61;4.61;4.61;4.61;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Crematie;;;;nee;21 - 35;teef;2.71;3.46;3.46;4.61;4.61;4.61;4.61;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Crematie;;;;nee;36 - 49;reu;4.31;5.19;5.19;7.32;7.32;7.32;7.32;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Crematie;;;;nee;36 - 49;teef;4.31;5.19;5.19;7.32;7.32;7.32;7.32;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Crematie;;;;nee;> 50;reu;6.72;8.66;8.66;10.59;10.59;10.59;10.59;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";PLUS;Crematie;;;;nee;> 50;teef;6.72;8.66;8.66;10.59;10.59;10.59;10.59;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;;;;;nee;< 5;reu;46.05;49.67;49.67;58.59;58.59;58.59;58.59;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;;;;;nee;< 5;teef;46.05;49.67;49.67;58.59;58.59;58.59;58.59;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;;;;;nee;6 - 20;reu;49.27;51.82;51.82;61.65;61.65;61.65;61.65;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;;;;;nee;6 - 20;teef;49.27;51.82;51.82;61.65;61.65;61.65;61.65;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;;;;;nee;21 - 35;reu;52.50;56.20;56.20;65.11;65.11;65.11;65.11;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;;;;;nee;21 - 35;teef;52.50;56.20;56.20;65.11;65.11;65.11;65.11;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;;;;;nee;36 - 49;reu;61.35;65.58;65.58;75.09;75.09;75.09;75.09;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;;;;;nee;36 - 49;teef;61.35;65.58;65.58;75.09;75.09;75.09;75.09;;;;;;;
